timestamp,request_id,client_country,service,endpoint,entity_type,entity_value,status_code,processing_time_ms,event_type
2026-07-09T20:00:56.600Z,manual-001,Iran,team-service,/api/teams,team,Argentina,200,7,team_lookup
2026-07-09T21:29:52.541Z,req_000001,Germany,team-service,/api/teams,team,Argentina,200,9,team_lookup
2026-07-09T21:29:52.556Z,req_000017,Germany,team-service,/api/teams,team,Portugal,200,9,team_lookup
2026-07-09T21:29:52.561Z,req_000021,Japan,team-service,/api/teams,team,Wakanda,404,4,team_lookup
2026-07-09T21:29:52.568Z,req_000008,Argentina,team-service,/api/teams,team,Argentina,200,27,team_lookup
2026-07-09T21:29:52.571Z,req_000009,Mexico,team-service,/api/teams,team,Italy,200,29,team_lookup
2026-07-09T21:29:52.581Z,req_000028,Mexico,team-service,/api/teams,team,Mexico,200,8,team_lookup
2026-07-09T21:29:52.585Z,req_000023,Japan,team-service,/api/teams,team,Argentina,200,16,team_lookup
2026-07-09T21:29:52.598Z,req_000033,Iran,team-service,/api/teams,team,Argentina,200,24,team_lookup
2026-07-09T21:29:52.616Z,req_000010,Argentina,stadium-service,/api/stadiums,stadium,Toronto Stadium,500,25,stadium_lookup
2026-07-09T21:29:52.629Z,req_000046,Argentina,team-service,/api/teams,team,Argentina,200,5,team_lookup
2026-07-09T21:29:52.634Z,req_000018,Iran,stadium-service,/api/stadiums,stadium,Los Angeles Stadium,200,42,stadium_lookup
2026-07-09T21:29:52.643Z,req_000038,Japan,team-service,/api/teams,team,Denmark,500,38,team_lookup
2026-07-09T21:29:52.646Z,req_000041,Brazil,stadium-service,/api/stadiums,stadium,Toronto Stadium,200,24,stadium_lookup
2026-07-09T21:29:52.657Z,req_000049,Brazil,stadium-service,/api/stadiums,stadium,Wembley Stadium,404,30,stadium_lookup
2026-07-09T21:29:52.660Z,req_000006,Mexico,match-service,/api/matches,match_day,,400,72,match_lookup
2026-07-09T21:29:52.661Z,req_000007,Morocco,match-service,/api/matches,match_day,2026-06-13,200,72,match_lookup
2026-07-09T21:29:52.661Z,req_000019,Argentina,match-service,/api/matches,match_day,2026-07-14,200,69,match_lookup
2026-07-09T21:29:52.662Z,req_000024,USA,match-service,/api/matches,match_day,2026-06-25,200,69,match_lookup
2026-07-09T21:29:52.693Z,req_000054,Argentina,stadium-service,/api/stadiums,stadium,New York New Jersey Stadium,200,20,stadium_lookup
2026-07-09T21:29:52.697Z,req_000055,USA,team-service,/api/teams,team,USA,200,26,team_lookup
2026-07-09T21:29:52.702Z,req_000057,France,match-service,/api/matches,match_day,2026-06-12,200,14,match_lookup
2026-07-09T21:29:52.705Z,req_000065,France,stadium-service,/api/stadiums,stadium,New York New Jersey Stadium,200,5,stadium_lookup
2026-07-09T21:29:52.706Z,req_000039,USA,match-service,/api/matches,match_day,2026-06-19,200,45,match_lookup
2026-07-09T21:29:52.710Z,req_000067,Brazil,team-service,/api/teams,team,Iran,200,10,team_lookup
2026-07-09T21:29:52.717Z,req_000052,Mexico,match-service,/api/matches,match_day,2026-06-12,200,29,match_lookup
2026-07-09T21:29:52.731Z,req_000072,Argentina,stadium-service,/api/stadiums,stadium,New York New Jersey Stadium,200,24,stadium_lookup
2026-07-09T21:29:52.732Z,req_000080,USA,stadium-service,/api/stadiums,stadium,Old Trafford,404,11,stadium_lookup
2026-07-09T21:29:52.734Z,req_000069,Argentina,team-service,/api/teams,team,Argentina,200,32,team_lookup
2026-07-09T21:29:52.735Z,req_000073,Spain,match-service,/api/matches,match_day,2026-06-18,500,27,match_lookup
2026-07-09T21:29:52.737Z,req_000068,France,stadium-service,/api/stadiums,stadium,Miami Stadium,200,33,stadium_lookup
2026-07-09T21:29:52.740Z,req_000061,USA,match-service,/api/matches,match_day,2026-06-28,500,46,match_lookup
2026-07-09T21:29:52.741Z,req_000079,Spain,stadium-service,/api/stadiums,stadium,,400,24,stadium_lookup
2026-07-09T21:29:52.743Z,req_000086,Germany,team-service,/api/teams,team,Germany,200,14,team_lookup
2026-07-09T21:29:52.746Z,req_000084,Mexico,team-service,/api/teams,team,Senegal,200,20,team_lookup
2026-07-09T21:29:52.749Z,req_000066,Argentina,match-service,/api/matches,match_day,2026-06-29,500,49,match_lookup
2026-07-09T21:29:52.752Z,req_000083,France,team-service,/api/teams,team,France,200,25,team_lookup
2026-07-09T21:29:52.755Z,req_000077,USA,team-service,/api/teams,team,Belgium,200,39,team_lookup
2026-07-09T21:29:52.764Z,req_000089,Germany,match-service,/api/matches,match_day,2026-06-25,200,31,match_lookup
2026-07-09T21:29:52.771Z,req_000110,France,stadium-service,/api/stadiums,stadium,New York New Jersey Stadium,200,5,stadium_lookup
2026-07-09T21:29:52.776Z,req_000099,Iran,match-service,/api/matches,match_day,2026-06-25,200,25,match_lookup
2026-07-09T21:29:52.781Z,req_000104,USA,match-service,/api/matches,match_day,2026-06-13,200,25,match_lookup
2026-07-09T21:29:52.797Z,req_000109,Brazil,match-service,/api/matches,match_day,2026-06-19,200,28,match_lookup
2026-07-09T21:29:52.834Z,req_000094,Iran,team-service,/api/teams,team,Argentina,200,90,team_lookup
2026-07-09T21:29:52.834Z,req_000095,Iran,team-service,/api/teams,team,Argentina,200,89,team_lookup
2026-07-09T21:29:52.843Z,req_000098,Mexico,stadium-service,/api/stadiums,stadium,Monterrey Stadium,200,93,stadium_lookup
2026-07-09T21:29:52.843Z,req_000113,Brazil,stadium-service,/api/stadiums,stadium,New York New Jersey Stadium,200,74,stadium_lookup
2026-07-09T21:29:52.843Z,req_000115,Iran,stadium-service,/api/stadiums,stadium,New York New Jersey Stadium,200,70,stadium_lookup
2026-07-09T21:29:52.843Z,req_000119,USA,stadium-service,/api/stadiums,stadium,Philadelphia Stadium,200,62,stadium_lookup
2026-07-09T21:29:52.848Z,req_000111,Japan,team-service,/api/teams,team,Argentina,200,13,team_lookup
2026-07-09T21:29:52.875Z,req_000129,Morocco,match-service,/api/matches,match_day,2026-06-15,200,30,match_lookup
2026-07-09T21:29:52.875Z,req_000132,Argentina,match-service,/api/matches,match_day,2026-06-28,500,28,match_lookup
2026-07-09T21:29:52.876Z,req_000138,Germany,stadium-service,/api/stadiums,stadium,Houston Stadium,200,22,stadium_lookup
2026-07-09T21:29:52.880Z,req_000133,Iran,match-service,/api/matches,match_day,2026-06-25,200,33,match_lookup
2026-07-09T21:29:52.881Z,req_000124,Brazil,stadium-service,/api/stadiums,stadium,New York New Jersey Stadium,200,35,stadium_lookup
2026-07-09T21:29:52.889Z,req_000120,Iran,stadium-service,/api/stadiums,stadium,New York New Jersey Stadium,200,43,stadium_lookup
2026-07-09T21:29:52.896Z,req_000137,Brazil,match-service,/api/matches,match_day,2026-06-25,200,43,match_lookup
2026-07-09T21:29:52.911Z,req_000149,Mexico,match-service,/api/matches,match_day,2026-06-15,200,8,match_lookup
2026-07-09T21:29:52.927Z,req_000143,Spain,team-service,/api/teams,team,Spain,200,29,team_lookup
2026-07-09T21:29:52.932Z,req_000145,Germany,team-service,/api/teams,team,South Korea,200,31,team_lookup
2026-07-09T21:29:52.938Z,req_000146,Spain,team-service,/api/teams,team,Spain,200,39,team_lookup
2026-07-09T21:29:52.943Z,req_000147,Brazil,match-service,/api/matches,match_day,2026-06-25,200,43,match_lookup
2026-07-09T21:29:52.955Z,req_000150,Canada,match-service,/api/matches,match_day,2026-06-25,200,41,match_lookup
2026-07-09T21:29:52.960Z,req_000152,USA,stadium-service,/api/stadiums,stadium,Dallas Stadium,200,44,stadium_lookup
2026-07-09T21:29:52.966Z,req_000153,Canada,team-service,/api/teams,team,Iran,200,14,team_lookup
2026-07-09T21:29:52.967Z,req_000154,USA,team-service,/api/teams,team,Atlantis,404,14,team_lookup
2026-07-09T21:29:52.969Z,req_000163,Japan,team-service,/api/teams,team,Argentina,200,8,team_lookup
2026-07-09T21:29:52.979Z,req_000168,Brazil,match-service,/api/matches,match_day,2026-07-14,200,8,match_lookup
2026-07-09T21:29:52.983Z,req_000164,Argentina,team-service,/api/teams,team,Atlantis,404,17,team_lookup
2026-07-09T21:29:52.984Z,req_000144,Iran,stadium-service,/api/stadiums,stadium,New York New Jersey Stadium,200,16,stadium_lookup
2026-07-09T21:29:52.987Z,req_000160,Spain,team-service,/api/teams,team,Ecuador,200,29,team_lookup
2026-07-09T21:29:52.996Z,req_000171,USA,team-service,/api/teams,team,England,200,19,team_lookup
2026-07-09T21:29:52.997Z,req_000157,Canada,match-service,/api/matches,match_day,2026-06-19,500,41,match_lookup
2026-07-09T21:29:52.997Z,req_000172,Brazil,team-service,/api/teams,team,South Korea,200,9,team_lookup
2026-07-09T21:29:53.003Z,req_000169,France,match-service,/api/matches,match_day,2026-06-19,200,32,match_lookup
2026-07-09T21:29:53.006Z,req_000161,France,stadium-service,/api/stadiums,stadium,Camp Nou,404,34,stadium_lookup
2026-07-09T21:29:53.007Z,req_000165,Iran,stadium-service,/api/stadiums,stadium,Boston Stadium,200,34,stadium_lookup
2026-07-09T21:29:53.016Z,req_000182,Iran,stadium-service,/api/stadiums,stadium,New York New Jersey Stadium,200,8,stadium_lookup
2026-07-09T21:29:53.018Z,req_000178,Brazil,team-service,/api/teams,team,Brazil,200,16,team_lookup
2026-07-09T21:29:53.020Z,req_000177,Iran,match-service,/api/matches,match_day,2026-06-25,200,20,match_lookup
2026-07-09T21:29:53.027Z,req_000174,Germany,match-service,/api/matches,match_day,2026-06-22,200,28,match_lookup
2026-07-09T21:29:53.030Z,req_000179,Argentina,match-service,/api/matches,match_day,2026-07-06,200,27,match_lookup
2026-07-09T21:29:53.030Z,req_000183,USA,team-service,/api/teams,team,USA,200,21,team_lookup
2026-07-09T21:29:53.033Z,req_000175,Iran,match-service,/api/matches,match_day,2026-07-19,200,37,match_lookup
