country,match_day,total_requests
Argentina,2026-02-30,24
Argentina,2026-06-12,133
Argentina,2026-06-13,130
Argentina,2026-06-14,139
Argentina,2026-06-15,130
Argentina,2026-06-18,143
Argentina,2026-06-19,113
Argentina,2026-06-22,114
Argentina,2026-06-25,794
Argentina,2026-06-28,139
Argentina,2026-06-29,126
Argentina,2026-07-04,136
Argentina,2026-07-06,138
Argentina,2026-07-14,132
Argentina,2026-07-19,135
Argentina,2026-13-45,41
Argentina,25-06-2026,40
Argentina,not-a-date,33
Brazil,2026-02-30,43
Brazil,2026-06-12,157
Brazil,2026-06-13,144
Brazil,2026-06-14,164
Brazil,2026-06-15,142
Brazil,2026-06-18,145
Brazil,2026-06-19,188
Brazil,2026-06-22,146
Brazil,2026-06-25,990
Brazil,2026-06-28,177
Brazil,2026-06-29,169
Brazil,2026-07-04,142
Brazil,2026-07-06,175
Brazil,2026-07-14,147
Brazil,2026-07-19,165
Brazil,2026-13-45,41
Brazil,25-06-2026,37
Brazil,not-a-date,49
Canada,2026-02-30,8
Canada,2026-06-12,45
Canada,2026-06-13,32
Canada,2026-06-14,38
Canada,2026-06-15,31
Canada,2026-06-18,35
Canada,2026-06-19,32
Canada,2026-06-22,44
Canada,2026-06-25,233
Canada,2026-06-28,37
Canada,2026-06-29,33
Canada,2026-07-04,27
Canada,2026-07-06,34
Canada,2026-07-14,39
Canada,2026-07-19,29
Canada,2026-13-45,16
Canada,25-06-2026,9
Canada,not-a-date,7
France,2026-02-30,20
France,2026-06-12,110
France,2026-06-13,126
France,2026-06-14,99
France,2026-06-15,107
France,2026-06-18,98
France,2026-06-19,112
France,2026-06-22,129
France,2026-06-25,689
France,2026-06-28,129
France,2026-06-29,101
France,2026-07-04,95
France,2026-07-06,99
France,2026-07-14,105
France,2026-07-19,106
France,2026-13-45,31
France,25-06-2026,23
France,not-a-date,34
Germany,2026-02-30,50
Germany,2026-06-12,129
Germany,2026-06-13,165
Germany,2026-06-14,148
Germany,2026-06-15,176
Germany,2026-06-18,162
Germany,2026-06-19,173
Germany,2026-06-22,163
Germany,2026-06-25,1035
Germany,2026-06-28,143
Germany,2026-06-29,170
Germany,2026-07-04,171
Germany,2026-07-06,148
Germany,2026-07-14,169
Germany,2026-07-19,164
Germany,2026-13-45,38
Germany,25-06-2026,53
Germany,not-a-date,39
Iran,2026-02-30,62
Iran,2026-06-12,210
Iran,2026-06-13,256
Iran,2026-06-14,204
Iran,2026-06-15,221
Iran,2026-06-18,223
Iran,2026-06-19,219
Iran,2026-06-22,232
Iran,2026-06-25,1405
Iran,2026-06-28,244
Iran,2026-06-29,225
Iran,2026-07-04,193
Iran,2026-07-06,202
Iran,2026-07-14,219
Iran,2026-07-19,208
Iran,2026-13-45,46
Iran,25-06-2026,59
Iran,not-a-date,58
Japan,2026-02-30,31
Japan,2026-06-12,85
Japan,2026-06-13,72
Japan,2026-06-14,86
Japan,2026-06-15,94
Japan,2026-06-18,92
Japan,2026-06-19,84
Japan,2026-06-22,79
Japan,2026-06-25,493
Japan,2026-06-28,78
Japan,2026-06-29,83
Japan,2026-07-04,87
Japan,2026-07-06,68
Japan,2026-07-14,96
Japan,2026-07-19,66
Japan,2026-13-45,14
Japan,25-06-2026,26
Japan,not-a-date,23
Mexico,2026-02-30,24
Mexico,2026-06-12,76
Mexico,2026-06-13,76
Mexico,2026-06-14,84
Mexico,2026-06-15,70
Mexico,2026-06-18,98
Mexico,2026-06-19,73
Mexico,2026-06-22,76
Mexico,2026-06-25,438
Mexico,2026-06-28,56
Mexico,2026-06-29,85
Mexico,2026-07-04,65
Mexico,2026-07-06,72
Mexico,2026-07-14,80
Mexico,2026-07-19,57
Mexico,2026-13-45,20
Mexico,25-06-2026,16
Mexico,not-a-date,12
Morocco,2026-02-30,9
Morocco,2026-06-12,21
Morocco,2026-06-13,25
Morocco,2026-06-14,23
Morocco,2026-06-15,26
Morocco,2026-06-18,21
Morocco,2026-06-19,18
Morocco,2026-06-22,19
Morocco,2026-06-25,143
Morocco,2026-06-28,31
Morocco,2026-06-29,23
Morocco,2026-07-04,23
Morocco,2026-07-06,21
Morocco,2026-07-14,23
Morocco,2026-07-19,23
Morocco,2026-13-45,5
Morocco,25-06-2026,8
Morocco,not-a-date,2
Spain,2026-02-30,15
Spain,2026-06-12,40
Spain,2026-06-13,52
Spain,2026-06-14,59
Spain,2026-06-15,63
Spain,2026-06-18,63
Spain,2026-06-19,72
Spain,2026-06-22,70
Spain,2026-06-25,375
Spain,2026-06-28,50
Spain,2026-06-29,55
Spain,2026-07-04,59
Spain,2026-07-06,82
Spain,2026-07-14,53
Spain,2026-07-19,65
Spain,2026-13-45,19
Spain,25-06-2026,15
Spain,not-a-date,26
USA,2026-02-30,46
USA,2026-06-12,137
USA,2026-06-13,145
USA,2026-06-14,146
USA,2026-06-15,148
USA,2026-06-18,137
USA,2026-06-19,162
USA,2026-06-22,113
USA,2026-06-25,865
USA,2026-06-28,115
USA,2026-06-29,177
USA,2026-07-04,142
USA,2026-07-06,132
USA,2026-07-14,132
USA,2026-07-19,132
USA,2026-13-45,37
USA,25-06-2026,30
USA,not-a-date,43
