country,stadium,total_requests
Argentina,Atlanta Stadium,87
Argentina,BC Place Vancouver,79
Argentina,Boston Stadium,92
Argentina,Camp Nou,115
Argentina,Dallas Stadium,105
Argentina,Guadalajara Stadium,80
Argentina,Houston Stadium,96
Argentina,Kansas City Stadium,92
Argentina,Los Angeles Stadium,81
Argentina,Mexico City Stadium,107
Argentina,Miami Stadium,112
Argentina,Monterrey Stadium,75
Argentina,New York New Jersey Stadium,698
Argentina,Old Trafford,115
Argentina,Philadelphia Stadium,85
Argentina,San Francisco Bay Area Stadium,87
Argentina,Seattle Stadium,75
Argentina,Toronto Stadium,97
Argentina,Wembley Stadium,125
Brazil,Atlanta Stadium,117
Brazil,BC Place Vancouver,100
Brazil,Boston Stadium,129
Brazil,Camp Nou,143
Brazil,Dallas Stadium,112
Brazil,Guadalajara Stadium,118
Brazil,Houston Stadium,95
Brazil,Kansas City Stadium,106
Brazil,Los Angeles Stadium,91
Brazil,Mexico City Stadium,97
Brazil,Miami Stadium,96
Brazil,Monterrey Stadium,104
Brazil,New York New Jersey Stadium,781
Brazil,Old Trafford,143
Brazil,Philadelphia Stadium,104
Brazil,San Francisco Bay Area Stadium,120
Brazil,Seattle Stadium,106
Brazil,Toronto Stadium,115
Brazil,Wembley Stadium,141
Canada,Atlanta Stadium,25
Canada,BC Place Vancouver,18
Canada,Boston Stadium,28
Canada,Camp Nou,32
Canada,Dallas Stadium,34
Canada,Guadalajara Stadium,31
Canada,Houston Stadium,23
Canada,Kansas City Stadium,24
Canada,Los Angeles Stadium,25
Canada,Mexico City Stadium,24
Canada,Miami Stadium,27
Canada,Monterrey Stadium,23
Canada,New York New Jersey Stadium,174
Canada,Old Trafford,20
Canada,Philadelphia Stadium,14
Canada,San Francisco Bay Area Stadium,28
Canada,Seattle Stadium,27
Canada,Toronto Stadium,37
Canada,Wembley Stadium,30
France,Atlanta Stadium,82
France,BC Place Vancouver,70
France,Boston Stadium,77
France,Camp Nou,98
France,Dallas Stadium,86
France,Guadalajara Stadium,91
France,Houston Stadium,99
France,Kansas City Stadium,82
France,Los Angeles Stadium,78
France,Mexico City Stadium,74
France,Miami Stadium,74
France,Monterrey Stadium,76
France,New York New Jersey Stadium,520
France,Old Trafford,102
France,Philadelphia Stadium,68
France,San Francisco Bay Area Stadium,73
France,Seattle Stadium,73
France,Toronto Stadium,90
France,Wembley Stadium,98
Germany,Atlanta Stadium,117
Germany,BC Place Vancouver,111
Germany,Boston Stadium,106
Germany,Camp Nou,143
Germany,Dallas Stadium,146
Germany,Guadalajara Stadium,120
Germany,Houston Stadium,118
Germany,Kansas City Stadium,123
