country,team,total_requests
Argentina,Argentina,2488
Argentina,Atlantis,33
Argentina,Australia,36
Argentina,Belgium,44
Argentina,Brazil,38
Argentina,Canada,50
Argentina,Colombia,41
Argentina,Croatia,42
Argentina,Denmark,41
Argentina,Ecuador,41
Argentina,El Dorado,46
Argentina,England,40
Argentina,France,47
Argentina,Genovia,37
Argentina,Germany,43
Argentina,Iran,41
Argentina,Italy,37
Argentina,Japan,39
Argentina,Mexico,37
Argentina,Morocco,50
Argentina,Netherlands,47
Argentina,Nigeria,42
Argentina,Norway,43
Argentina,Portugal,46
Argentina,Saudi Arabia,57
Argentina,Senegal,60
Argentina,Serbia,45
Argentina,South Korea,56
Argentina,Spain,43
Argentina,Sweden,44
Argentina,Switzerland,45
Argentina,USA,48
Argentina,Uruguay,45
Argentina,Wakanda,43
Brazil,Argentina,609
Brazil,Atlantis,58
Brazil,Australia,41
Brazil,Belgium,49
Brazil,Brazil,2235
Brazil,Canada,51
Brazil,Colombia,63
Brazil,Croatia,52
Brazil,Denmark,60
Brazil,Ecuador,53
Brazil,El Dorado,65
Brazil,England,54
Brazil,France,55
Brazil,Genovia,40
Brazil,Germany,64
Brazil,Iran,58
Brazil,Italy,59
Brazil,Japan,64
Brazil,Mexico,52
Brazil,Morocco,51
Brazil,Netherlands,43
Brazil,Nigeria,63
Brazil,Norway,53
Brazil,Portugal,42
Brazil,Saudi Arabia,47
Brazil,Senegal,56
Brazil,Serbia,50
Brazil,South Korea,56
Brazil,Spain,59
Brazil,Sweden,65
Brazil,Switzerland,59
Brazil,USA,47
Brazil,Uruguay,44
Brazil,Wakanda,39
Canada,Argentina,145
Canada,Atlantis,15
Canada,Australia,12
Canada,Belgium,13
Canada,Brazil,11
Canada,Canada,542
Canada,Colombia,10
Canada,Croatia,17
Canada,Denmark,15
Canada,Ecuador,13
Canada,El Dorado,10
Canada,England,12
Canada,France,11
Canada,Genovia,15
Canada,Germany,16
Canada,Iran,16
Canada,Italy,8
Canada,Japan,16
Canada,Mexico,13
Canada,Morocco,9
Canada,Netherlands,14
Canada,Nigeria,13
Canada,Norway,5
Canada,Portugal,15
Canada,Saudi Arabia,13
Canada,Senegal,8
Canada,Serbia,13
Canada,South Korea,17
Canada,Spain,13
Canada,Sweden,9
Canada,Switzerland,11
Canada,USA,13
Canada,Uruguay,13
Canada,Wakanda,12
France,Argentina,417
France,Atlantis,36
France,Australia,40
France,Belgium,35
France,Brazil,52
France,Canada,31
France,Colombia,35
France,Croatia,56
France,Denmark,41
France,Ecuador,33
France,El Dorado,36
France,England,30
France,France,1572
France,Genovia,35
France,Germany,37
France,Iran,37
France,Italy,36
France,Japan,42
France,Mexico,41
France,Morocco,35
France,Netherlands,37
France,Nigeria,37
France,Norway,42
France,Portugal,39
France,Saudi Arabia,41
France,Senegal,33
France,Serbia,38
France,South Korea,41
France,Spain,36
France,Sweden,38
